#timest       avgRadius       avgDipole    monoExchange            MSDx            MSDy            MSDz          MSDavg 
00552000       50.726082       -0.012076        0.000000      611.978014      644.365909     2004.785049      1087.042991
00554000       50.747496       -0.009713        0.000000      612.184300      646.516539     2008.036541      1088.912460
00556000       50.828454       -0.011172        0.000000      614.843777      649.595051     2011.653194      1092.030674
00558000       50.861861       -0.014183        0.000000      616.818240      650.572815     2018.398264      1095.263107
00560000       50.941308       -0.009424       -6.000000      621.082388      651.950719     2020.413637      1097.815582
00562000       50.978366       -0.014516       -6.000000      624.407315      651.174534     2021.693043      1099.091631
00564000       50.990423       -0.011911       -6.000000      625.501686      652.307801     2030.504097      1102.771194
00566000       51.086126       -0.011508       -6.000000      628.823479      654.544823     2032.751541      1105.373281
00568000       51.217951       -0.011489       -6.000000      633.525277      657.349585     2034.060581      1108.311814
00570000       51.263648       -0.014430       -1.000000      634.860849      660.715167     2036.852815      1110.809611
00572000       51.279342       -0.012890       -1.000000      635.116337      663.448445     2038.824612      1112.463131
00574000       51.322493       -0.010670       -1.000000      636.754849      663.679861     2037.413988      1112.616233
00576000       51.266409       -0.012534       -1.000000      635.855039      663.635380     2037.578200      1112.356206
00578000       51.297762       -0.009754       -1.000000      638.027803      666.333420     2035.791643      1113.384289
00580000       51.352982       -0.011638       -3.000000      638.837029      671.689917     2037.363249      1115.963398
00582000       51.357380       -0.012312       -3.000000      639.858030      674.149508     2035.136180      1116.381239
00584000       51.307984       -0.012477       -3.000000      640.749496      673.366563     2031.414047      1115.176702
00586000       51.288646       -0.013368       -3.000000      642.941021      672.678083     2031.827142      1115.815416
00588000       51.306922       -0.012790       -3.000000      642.958714      675.838249     2034.609984      1117.802316
00590000       51.415060       -0.013536        3.000000      645.809768      681.588701     2037.368629      1121.589033
00592000       51.446141       -0.011902        3.000000      647.295829      682.975403     2038.334227      1122.868486
00594000       51.472238       -0.010825        3.000000      651.017075      680.721054     2038.994315      1123.577481
00596000       51.532010       -0.011529        3.000000      654.042556      682.635635     2043.435743      1126.704644
00598000       51.601859       -0.010775        3.000000      657.003610      683.527000     2047.726004      1129.418871
00600000       51.621584       -0.010886        0.000000      660.131957      684.597957     2051.486979      1132.072298
00602000       51.619681       -0.012612        0.000000      659.730055      686.337926     2054.359762      1133.475914
00604000       51.536809       -0.010761        0.000000      658.718217      685.097373     2053.944844      1132.586811
00606000       51.547195       -0.013542        0.000000      661.877627      684.098152     2056.808842      1134.261540
00608000       51.553127       -0.011905        0.000000      664.547874      685.120958     2061.073506      1136.914113
00610000       51.557624       -0.014824        0.000000      663.998842      686.444610     2062.554859      1137.666104
00612000       51.572683       -0.011169        0.000000      665.054584      688.109127     2064.450060      1139.204591
00614000       51.565391       -0.012667        0.000000      666.464828      689.101747     2065.756583      1140.441052
00616000       51.681574       -0.012801        0.000000      669.506017      692.723710     2068.379262      1143.536330
00618000       51.710155       -0.011950        0.000000      670.841365      693.677000     2067.221338      1143.913234
00620000       51.699790       -0.013002        0.000000      672.410658      695.052807     2069.505222      1145.656229
00622000       51.794638       -0.013187        0.000000      674.893374      699.836113     2069.755451      1148.161646
00624000       51.927438       -0.014087        0.000000      678.675402      704.396693     2070.535022      1151.202372
00626000       51.971375       -0.012380        0.000000      679.581934      708.231997     2071.941610      1153.251847
00628000       51.966282       -0.012849        0.000000      680.750800      709.691028     2072.096109      1154.179312
00630000       52.027470       -0.013581        0.000000      683.606086      710.952852     2076.022124      1156.860354
00632000       52.074784       -0.014658        0.000000      687.924438      713.142653     2075.992380      1159.019824
00634000       52.180386       -0.012220        0.000000      692.410025      715.658926     2075.451392      1161.173448
00636000       52.223204       -0.011365        0.000000      693.297470      719.663571     2080.825580      1164.595540
00638000       52.314819       -0.013050        0.000000      695.172635      724.190827     2085.838314      1168.400592
00640000       52.424616       -0.012189        0.000000      701.876329      727.129733     2090.986247      1173.330770
00642000       52.530065       -0.013494        0.000000      707.096753      729.936651     2096.418983      1177.817462
00644000       52.576274       -0.013324        0.000000      707.140842      733.840698     2102.411575      1181.131038
00646000       52.616499       -0.013954        0.000000      709.463468      735.194220     2101.883157      1182.180282
00648000       52.669309       -0.013232        0.000000      711.178170      737.891088     2107.485337      1185.518198
